muni_code_5,muni_code_6,pref_code,muni_name,school_type,source_type,source_date,source_version,license_type,license_url,source_url,commercial_use,redistribution,attribution_required,attribution_text,license_status,checked_at,is_priority_target,raw_public,raw_use,special_condition
23100,231002,23,名古屋市,elementary,KSJ_A27_2023,2023-04-01,R5,CONDITIONAL,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,false,false,true,,PENDING,2026-08-14,true,01公開,条件公開,通学区域の詳細につきましては、必ず教育委員会までお問い合わせください。
23100,231002,23,名古屋市,junior_high,KSJ_A32_2023,2023-04-01,R5,CONDITIONAL,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-2023.html,false,false,true,,PENDING,2026-08-14,true,01公開,条件公開,通学区域の詳細につきましては、必ず教育委員会までお問い合わせください。
23201,232017,23,豊橋市,elementary,KSJ_A27_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
23201,232017,23,豊橋市,junior_high,KSJ_A32_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
23202,232025,23,岡崎市,elementary,KSJ_A27_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
23202,232025,23,岡崎市,junior_high,KSJ_A32_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
23203,232033,23,一宮市,elementary,KSJ_A27_2023,2023-04-01,R5,NO_COMMERCIAL_NO_REDIST,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,false,false,true,,REJECTED,2026-08-14,true,01公開,商用利用・再配布不可,
23203,232033,23,一宮市,junior_high,KSJ_A32_2023,2023-04-01,R5,NO_COMMERCIAL_NO_REDIST,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-2023.html,false,false,true,,REJECTED,2026-08-14,true,01公開,商用利用・再配布不可,
23207,232076,23,豊川市,elementary,KSJ_A27_2023,2023-04-01,R5,NO_COMMERCIAL,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,false,false,true,,REJECTED,2026-08-14,true,01公開,商用利用不可,
23207,232076,23,豊川市,junior_high,KSJ_A32_2023,2023-04-01,R5,NO_COMMERCIAL,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-2023.html,false,false,true,,REJECTED,2026-08-14,true,01公開,商用利用不可,
23210,232106,23,刈谷市,elementary,KSJ_A27_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
23210,232106,23,刈谷市,junior_high,KSJ_A32_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A32-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
23211,232114,23,豊田市,elementary,KSJ_A27_2023,2023-04-01,R5,OPEN_DATA,https://nlftp.mlit.go.jp/ksj/gml/codelist/R5_Terms_of_use_municipality_data.xlsx,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A27-2023.html,true,true,true,出典：国土数値情報（小学校区・中学校区データ、2023年度）を加工して作成,CLEARED,2026-08-14,true,01公開,オープンデータ公開,
